Date (日期),Ticker (股票代码),Name (名称),Type (类型),Volume (成交量),Signal Strength,Direction (方向),ML_Prob,ML_Detail,Pattern (形态),Daily_J,Weekly_J,Price,ATR,Stop_Loss (止损),Suggested_Shares (建议股数),Position_Size (建议仓位$)
2026-04-23,GOOGL,谷歌,Stock,18458741,Strong,Short,33.5%,XGB:0.15|LGB:0.13|LR:0.48|N:338|Base:0.33,"Doji (十字星), Doji (十字星)",83.47,113.95,338.89,7.74,354.37,32,10844
2026-04-23,HOOD,罗宾汉,Stock,33248860,Strong,Short,35.0%,XGB:0.34|LGB:0.39|LR:0.40|N:338|Base:0.34,Doji (十字星),68.49,86.4,83.54,4.88,93.3,51,4260
2026-04-23,MSFT,微软,Stock,37996014,Strong,Short,35.7%,XGB:0.39|LGB:0.47|LR:0.30|N:338|Base:0.34,"Doji (十字星), Doji (十字星)",81.96,92.36,415.75,10.58,436.91,23,9562
2026-04-23,MU,美光科技,Stock,37680357,Strong,Short,33.7%,XGB:0.33|LGB:0.41|LR:0.44|N:338|Base:0.32,Doji (十字星),85.7,94.92,481.72,25.99,533.7,9,4335
2026-04-23,NVDA,英伟达,Stock,108937228,Strong,Short,25.9%,XGB:0.11|LGB:0.16|LR:0.25|N:338|Base:0.30,"Bearish Engulfing (看跌吞没), Doji (十字星)",82.84,106.14,199.64,4.98,209.6,50,9982
2026-04-22,IWM,罗素2000指数ETF,Index ETF,20105627,Strong,Short,35.7%,XGB:0.39|LGB:0.58|LR:0.20|N:335|Base:0.33,"Doji (十字星), Bearish Engulfing (看跌吞没), Doji (十字星)",80.41,105.58,276.48,4.96,286.4,50,13824
2026-04-22,QQQ,纳斯达克100指数ETF,Index ETF,35846855,Strong + Div,Short,27.7%,XGB:0.49|LGB:0.45|LR:0.15|N:337|Base:0.28,Doji (十字星),96.8,120.02,655.11,10.05,675.21,24,15722
2026-04-22,SPY,标普500指数ETF,Index ETF,41070592,Strong + Div,Short,16.1%,XGB:0.05|LGB:0.05|LR:0.11|N:337|Base:0.20,"Doji (十字星), Doji (十字星)",90.57,113.4,711.21,8.76,728.73,28,19913
2026-04-22,COIN,Coinbase,Stock,12046229,Strong,Short,32.0%,XGB:0.14|LGB:0.24|LR:0.43|N:337|Base:0.35,"Doji (十字星), Shooting Star (射击之星)",84.06,93.25,206.24,12.48,231.2,20,4124
2026-04-22,GOOGL,谷歌,Stock,19260580,Strong,Short,31.8%,XGB:0.21|LGB:0.26|LR:0.47|N:337|Base:0.33,Doji (十字星),80.44,114.42,339.32,7.89,355.1,31,10518
